Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
India,15 ,10 , 20,"Estimates were not available at the time of publication.",19 ,13 , 26,"Estimates were not available at the time of publication.",24 ,16 , 32,"Estimates were not available at the time of publication.",31 ,20 , 40,"Estimates were not available at the time of publication.",34 ,23 , 44,"Estimates were not available at the time of publication.",38 ,26 , 49,"Estimates were not available at the time of publication.",44 ,29 , 56,"Estimates were not available at the time of publication.",51 ,34 , 64,"Estimates were not available at the time of publication.",55 ,37 , 69,"Estimates were not available at the time of publication.",63 ,42 , 79,"Estimates were not available at the time of publication.",64 ,43 , 79,"Estimates were not available at the time of publication."
Indonesia,5 ,5 , 5,,6 ,6 , 6,,7 ,7 , 7,,8 ,8 , 8,,10 ,10 , 11,,12 ,12 , 13,,15 ,14 , 16,,17 ,16 , 18,,20 ,19 , 21,,24 ,22 , 25,,26 ,25 , 28,
Iran (Islamic Republic of),2 ,2 , 4,,3 ,3 , 5,,5 ,4 , 7,,6 ,5 , 10,,9 ,7 , 15,,11 ,8 , 20,,15 ,11 , 28,,20 ,14 , 38,,24 ,17 , 50,,27 ,20 , 61,,29 ,21 , 68,
Iraq,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Ireland,63 ,55 , 71,"Children estimates were not available at the time of publication.",65 ,57 , 74,"Children estimates were not available at the time of publication.",68 ,59 , 77,"Children estimates were not available at the time of publication.",70 ,61 , 80,"Children estimates were not available at the time of publication.",73 ,62 , 83,"Children estimates were not available at the time of publication.",74 ,63 , 86,"Children estimates were not available at the time of publication.",76 ,64 , 89,"Children estimates were not available at the time of publication.",77 ,64 , 91,"Children estimates were not available at the time of publication.",80 ,66 , 97,"Children estimates were not available at the time of publication.",84 ,69 , >98,"Children estimates were not available at the time of publication.",85 ,69 , >98,"Children estimates were not available at the time of publication."
Israel,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Italy,65 ,57 , 73,"Children estimates were not available at the time of publication.",68 ,59 , 75,"Children estimates were not available at the time of publication.",70 ,60 , 78,"Children estimates were not available at the time of publication.",72 ,62 , 80,"Children estimates were not available at the time of publication.",74 ,64 , 82,"Children estimates were not available at the time of publication.",75 ,65 , 84,"Children estimates were not available at the time of publication.",77 ,66 , 86,"Children estimates were not available at the time of publication.",82 ,70 , 92,"Children estimates were not available at the time of publication.",87 ,74 , 98,"Children estimates were not available at the time of publication.",87 ,74 , 98,"Children estimates were not available at the time of publication.",91 ,77 , >98,"Children estimates were not available at the time of publication."
Jamaica,21 ,17 , 30,,24 ,19 , 33,,26 ,21 , 37,,30 ,25 , 42,,32 ,26 , 44,,33 ,27 , 46,,36 ,29 , 49,,38 ,31 , 53,,40 ,33 , 55,,44 ,36 , 61,,40 ,33 , 56,
Japan,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Jordan,24 ,22 , 26,,24 ,22 , 26,,25 ,23 , 27,,25 ,23 , 28,,26 ,23 , 28,,27 ,25 , 30,,30 ,28 , 33,,32 ,29 , 35,,35 ,32 , 38,,37 ,33 , 40,,37 ,34 , 41,
Kazakhstan,8 ,5 , 11,,11 ,7 , 15,,16 ,10 , 21,,20 ,13 , 26,,24 ,15 , 31,,29 ,19 , 38,,33 ,22 , 43,,42 ,28 , 55,,51 ,33 , 67,,55 ,35 , 71,,57 ,37 , 75,
Kenya,31 ,27 , 37,,39 ,34 , 45,,43 ,38 , 51,,47 ,41 , 55,,54 ,47 , 63,,63 ,56 , 74,,72 ,63 , 84,,78 ,68 , 92,,77 ,67 , 90,,81 ,71 , 95,,86 ,75 , >98,
Kuwait,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Kyrgyzstan,9 ,9 , 10,,11 ,11 , 12,,14 ,13 , 15,,21 ,20 , 22,,28 ,27 , 30,,32 ,30 , 35,,38 ,35 , 41,,42 ,39 , 46,,46 ,42 , 49,,47 ,43 , 50,,48 ,44 , 52,
Lao People's Democratic Republic,19 ,17 , 21,,20 ,19 , 22,,23 ,21 , 25,,25 ,23 , 27,,28 ,26 , 31,,31 ,29 , 34,,36 ,33 , 39,,42 ,38 , 46,,46 ,42 , 50,,50 ,46 , 55,,54 ,49 , 59,
Latvia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Lebanon,31 ,29 , 34,,34 ,31 , 37,,36 ,33 , 39,,38 ,35 , 42,,41 ,37 , 45,,43 ,39 , 47,,48 ,43 , 53,,53 ,48 , 59,,58 ,52 , 65,,65 ,58 , 73,,68 ,61 , 78,
Lesotho,34 ,32 , 38,,35 ,32 , 39,,38 ,35 , 43,,42 ,39 , 47,,45 ,42 , 51,,52 ,49 , 58,,62 ,57 , 69,,69 ,64 , 77,,71 ,66 , 79,,77 ,71 , 86,,82 ,76 , 91,
Liberia,11 ,10 , 13,,15 ,13 , 17,,14 ,12 , 16,,17 ,14 , 19,,18 ,16 , 21,,20 ,17 , 23,,22 ,19 , 26,,32 ,27 , 38,,39 ,33 , 47,,44 ,36 , 53,,53 ,44 , 64,
Libya,31 ,29 , 33,,34 ,31 , 36,,38 ,35 , 40,,42 ,38 , 45,,47 ,43 , 50,,54 ,49 , 58,,57 ,53 , 62,,59 ,55 , 64,,66 ,61 , 72,,54 ,49 , 59,,49 ,45 , 54,
Lithuania,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Luxembourg,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Madagascar,2 ,2 , 3,,3 ,2 , 4,,2 ,2 , 3,,3 ,2 , 4,,4 ,3 , 5,,5 ,4 , 6,,6 ,5 , 8,,7 ,6 , 9,,10 ,8 , 13,,13 ,11 , 17,,14 ,11 , 18,
Malawi,27 ,26 , 29,,35 ,33 , 37,,43 ,41 , 46,,50 ,47 , 54,,56 ,53 , 61,,61 ,58 , 66,,69 ,65 , 75,,76 ,72 , 82,,82 ,77 , 89,,84 ,79 , 92,,86 ,81 , 94,
Malaysia,18 ,16 , 20,,20 ,17 , 22,,20 ,18 , 22,,23 ,21 , 25,,28 ,25 , 31,,33 ,30 , 36,,45 ,41 , 49,,47 ,43 , 51,,49 ,44 , 53,,50 ,45 , 54,,51 ,46 , 55,
Maldives,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mali,21 ,18 , 25,,25 ,21 , 29,,25 ,21 , 29,,25 ,21 , 29,,28 ,23 , 33,,31 ,26 , 37,,34 ,28 , 41,,38 ,31 , 46,,42 ,35 , 51,,48 ,39 , 57,,52 ,42 , 62,
Malta,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Mauritania,17 ,15 , 19,,18 ,16 , 21,,19 ,17 , 22,,23 ,20 , 27,,25 ,21 , 29,,27 ,23 , 32,,29 ,25 , 35,,35 ,29 , 41,,35 ,29 , 43,,38 ,32 , 47,,40 ,33 , 50,
Mauritius,5 ,5 , 6,,11 ,10 , 12,,12 ,11 , 14,,14 ,12 , 16,,18 ,16 , 21,,19 ,17 , 22,,18 ,16 , 22,,20 ,17 , 23,,20 ,18 , 23,,21 ,18 , 24,,21 ,18 , 25,
Mexico,28 ,24 , 32,,30 ,26 , 34,,34 ,29 , 38,,34 ,30 , 39,,36 ,31 , 40,,41 ,36 , 47,,44 ,39 , 50,,46 ,40 , 52,,51 ,44 , 57,,52 ,45 , 58,,55 ,48 , 62,
Mongolia,7 ,6 , 7,,9 ,8 , 10,,12 ,10 , 13,,20 ,17 , 22,,25 ,22 , 27,,27 ,24 , 30,,28 ,25 , 31,,31 ,28 , 34,,32 ,29 , 36,,32 ,29 , 35,,35 ,31 , 38,
Montenegro,23 ,8 , 46,"Children estimates were not available at the time of publication.",23 ,8 , 44,"Children estimates were not available at the time of publication.",24 ,8 , 46,"Children estimates were not available at the time of publication.",27 ,9 , 51,"Children estimates were not available at the time of publication.",30 ,9 , 57,"Children estimates were not available at the time of publication.",32 ,10 , 62,"Children estimates were not available at the time of publication.",37 ,12 , 69,"Children estimates were not available at the time of publication.",42 ,14 , 78,"Children estimates were not available at the time of publication.",46 ,15 , 83,"Children estimates were not available at the time of publication.",49 ,15 , 90,"Children estimates were not available at the time of publication.",50 ,14 , 93,"Children estimates were not available at the time of publication."
Morocco,17 ,16 , 19,,21 ,19 , 24,,27 ,24 , 30,,32 ,29 , 36,,37 ,33 , 41,,44 ,40 , 49,,51 ,47 , 57,,55 ,50 , 62,,64 ,58 , 71,,70 ,62 , 78,,76 ,67 , 85,
Mozambique,15 ,12 , 18,,18 ,14 , 22,,19 ,15 , 24,,28 ,23 , 35,,35 ,28 , 43,,42 ,34 , 52,,50 ,41 , 62,,57 ,46 , 70,,62 ,50 , 76,,67 ,54 , 82,,68 ,55 , 85,
Myanmar,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Namibia,42 ,40 , 46,,50 ,47 , 55,,55 ,52 , 60,,59 ,55 , 64,,58 ,54 , 63,,66 ,61 , 72,,66 ,61 , 72,,74 ,69 , 82,,78 ,73 , 86,,86 ,80 , 95,,88 ,82 , 97,
Nepal,16 ,14 , 17,,21 ,19 , 23,,26 ,24 , 28,,30 ,28 , 33,,36 ,33 , 39,,42 ,38 , 45,,45 ,42 , 49,,53 ,48 , 57,,58 ,53 , 62,,63 ,57 , 68,,66 ,60 , 71,
Netherlands,65 ,58 , 73,"Children estimates were not available at the time of publication.",68 ,61 , 75,"Children estimates were not available at the time of publication.",70 ,63 , 78,"Children estimates were not available at the time of publication.",74 ,66 , 82,"Children estimates were not available at the time of publication.",77 ,69 , 85,"Children estimates were not available at the time of publication.",79 ,71 , 88,"Children estimates were not available at the time of publication.",81 ,73 , 90,"Children estimates were not available at the time of publication.",83 ,74 , 92,"Children estimates were not available at the time of publication.",85 ,76 , 94,"Children estimates were not available at the time of publication.",86 ,76 , 96,"Children estimates were not available at the time of publication.",88 ,78 , >98,"Children estimates were not available at the time of publication."
New Zealand,56 ,49 , 63,"Children estimates were not available at the time of publication.",60 ,52 , 67,"Children estimates were not available at the time of publication.",61 ,52 , 68,"Children estimates were not available at the time of publication.",62 ,53 , 69,"Children estimates were not available at the time of publication.",64 ,55 , 72,"Children estimates were not available at the time of publication.",68 ,58 , 77,"Children estimates were not available at the time of publication.",72 ,62 , 82,"Children estimates were not available at the time of publication.",76 ,64 , 86,"Children estimates were not available at the time of publication.",79 ,67 , 89,"Children estimates were not available at the time of publication.",83 ,71 , 94,"Children estimates were not available at the time of publication.",80 ,69 , 90,"Children estimates were not available at the time of publication."
Nicaragua,18 ,13 , 24,,23 ,17 , 29,,27 ,20 , 34,,29 ,22 , 37,,33 ,25 , 42,,36 ,28 , 45,,39 ,30 , 50,,42 ,32 , 54,,48 ,36 , 62,,51 ,39 , 66,,50 ,38 , 65,
Niger,20 ,18 , 23,,26 ,23 , 30,,32 ,28 , 36,,35 ,31 , 39,,33 ,30 , 37,,39 ,35 , 43,,47 ,42 , 52,,58 ,51 , 64,,62 ,56 , 69,,65 ,57 , 72,,68 ,60 , 75,
Nigeria,24 ,18 , 33,,28 ,21 , 37,,35 ,26 , 46,,41 ,31 , 55,,46 ,34 , 61,,50 ,37 , 66,,55 ,41 , 73,,58 ,43 , 77,,60 ,44 , 79,,67 ,50 , 89,,86 ,64 , >98,
North Macedonia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Norway,71 ,65 , 77,"Children estimates were not available at the time of publication.",71 ,65 , 77,"Children estimates were not available at the time of publication.",71 ,65 , 77,"Children estimates were not available at the time of publication.",71 ,65 , 77,"Children estimates were not available at the time of publication.",72 ,65 , 78,"Children estimates were not available at the time of publication.",73 ,66 , 80,"Children estimates were not available at the time of publication.",74 ,66 , 81,"Children estimates were not available at the time of publication.",75 ,67 , 83,"Children estimates were not available at the time of publication.",76 ,68 , 85,"Children estimates were not available at the time of publication.",78 ,68 , 88,"Children estimates were not available at the time of publication.",80 ,69 , 91,"Children estimates were not available at the time of publication."
Oman,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Pakistan,3 ,3 , 3,,3 ,2 , 3,,3 ,3 , 4,,3 ,3 , 4,,4 ,4 , 5,,5 ,5 , 5,,6 ,6 , 7,,8 ,7 , 8,,9 ,9 , 10,,12 ,12 , 13,,12 ,12 , 13,
Panama,29 ,26 , 30,"Children estimates were not available at the time of publication.",31 ,28 , 33,"Children estimates were not available at the time of publication.",32 ,29 , 33,"Children estimates were not available at the time of publication.",36 ,33 , 38,"Children estimates were not available at the time of publication.",37 ,34 , 39,"Children estimates were not available at the time of publication.",39 ,35 , 41,"Children estimates were not available at the time of publication.",44 ,40 , 47,"Children estimates were not available at the time of publication.",48 ,44 , 51,"Children estimates were not available at the time of publication.",49 ,45 , 53,"Children estimates were not available at the time of publication.",53 ,48 , 57,"Children estimates were not available at the time of publication.",51 ,46 , 56,"Children estimates were not available at the time of publication."
Papua New Guinea,23 ,15 , 32,"Children estimates were not available at the time of publication.",28 ,18 , 37,"Children estimates were not available at the time of publication.",33 ,22 , 44,"Children estimates were not available at the time of publication.",39 ,26 , 52,"Children estimates were not available at the time of publication.",46 ,31 , 61,"Children estimates were not available at the time of publication.",50 ,34 , 66,"Children estimates were not available at the time of publication.",54 ,36 , 70,"Children estimates were not available at the time of publication.",56 ,38 , 73,"Children estimates were not available at the time of publication.",59 ,40 , 77,"Children estimates were not available at the time of publication.",61 ,42 , 80,"Children estimates were not available at the time of publication.",65 ,44 , 85,"Children estimates were not available at the time of publication."
Paraguay,19 ,14 , 27,,20 ,15 , 27,,22 ,17 , 31,,26 ,20 , 36,,30 ,23 , 41,,33 ,25 , 45,,38 ,29 , 52,,45 ,34 , 62,,48 ,37 , 66,,52 ,40 , 72,,53 ,40 , 73,
Peru,34 ,30 , 39,,36 ,31 , 41,,44 ,39 , 51,,44 ,39 , 51,,50 ,44 , 57,,53 ,47 , 61,,59 ,52 , 68,,63 ,56 , 72,,70 ,62 , 80,,77 ,69 , 89,,79 ,69 , 91,
Philippines,8 ,7 , 8,,12 ,11 , 13,,13 ,12 , 14,,15 ,14 , 17,,20 ,18 , 21,,24 ,22 , 26,,29 ,27 , 31,,34 ,31 , 37,,39 ,36 , 42,,43 ,40 , 46,,42 ,38 , 45,
Poland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Portugal,53 ,47 , 58,,57 ,51 , 63,,62 ,55 , 67,,66 ,59 , 72,,71 ,63 , 77,,74 ,66 , 81,,77 ,68 , 84,,87 ,78 , 96,,90 ,80 , >98,,85 ,75 , 93,,87 ,76 , 94,
Qatar,<1 ,<1 , <1,,<1 ,<1 , <1,,<1 ,<1 , <1,,<1 ,<1 , <1,,<1 ,<1 , <1,,26 ,13 , 43,,48 ,24 , 78,,67 ,35 , >98,,80 ,46 , >98,,87 ,54 , >98,,90 ,60 , >98,
Republic of Korea,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Republic of Moldova,9 ,8 , 11,,12 ,10 , 15,,15 ,13 , 18,,18 ,15 , 21,,22 ,19 , 26,,27 ,23 , 32,,31 ,27 , 38,,36 ,31 , 43,,41 ,35 , 50,,46 ,40 , 56,,47 ,40 , 57,
Romania,49 ,29 , 63,"Children estimates were not available at the time of publication.",49 ,29 , 63,"Children estimates were not available at the time of publication.",49 ,29 , 63,"Children estimates were not available at the time of publication.",54 ,32 , 69,"Children estimates were not available at the time of publication.",57 ,34 , 72,"Children estimates were not available at the time of publication.",61 ,37 , 78,"Children estimates were not available at the time of publication.",62 ,37 , 78,"Children estimates were not available at the time of publication.",64 ,38 , 81,"Children estimates were not available at the time of publication.",65 ,39 , 82,"Children estimates were not available at the time of publication.",67 ,41 , 86,"Children estimates were not available at the time of publication.",66 ,40 , 84,"Children estimates were not available at the time of publication."
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Rwanda,42 ,39 , 46,,47 ,44 , 51,,54 ,50 , 59,,60 ,56 , 66,,66 ,61 , 73,,73 ,68 , 81,,81 ,75 , 90,,84 ,78 , 94,,87 ,80 , >98,,89 ,83 , >98,,92 ,85 , >98,
Sao Tome and Principe,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Saudi Arabia,69 ,63 , 76,,67 ,61 , 74,,65 ,59 , 72,,63 ,57 , 70,,61 ,55 , 67,,58 ,52 , 64,,60 ,54 , 67,,63 ,56 , 70,,64 ,56 , 73,,67 ,59 , 78,,62 ,54 , 74,
Senegal,25 ,22 , 29,,28 ,24 , 32,,26 ,23 , 30,,31 ,27 , 35,,38 ,33 , 42,,44 ,39 , 49,,51 ,46 , 57,,57 ,51 , 64,,67 ,59 , 74,,73 ,65 , 81,,77 ,68 , 86,
Serbia,52 ,44 , 60,"Children estimates were not available at the time of publication.",52 ,44 , 59,"Children estimates were not available at the time of publication.",52 ,44 , 59,"Children estimates were not available at the time of publication.",52 ,45 , 59,"Children estimates were not available at the time of publication.",53 ,45 , 60,"Children estimates were not available at the time of publication.",55 ,47 , 62,"Children estimates were not available at the time of publication.",58 ,49 , 66,"Children estimates were not available at the time of publication.",61 ,51 , 71,"Children estimates were not available at the time of publication.",65 ,53 , 77,"Children estimates were not available at the time of publication.",66 ,52 , 79,"Children estimates were not available at the time of publication.",65 ,51 , 79,"Children estimates were not available at the time of publication."
Sierra Leone,9 ,8 , 10,,12 ,11 , 14,,12 ,11 , 13,,13 ,12 , 15,,15 ,13 , 17,,19 ,17 , 21,,24 ,21 , 27,,31 ,28 , 35,,37 ,33 , 41,,42 ,37 , 47,,47 ,42 , 54,
Singapore,33 ,30 , 36,"Children estimates were not available at the time of publication.",39 ,34 , 42,"Children estimates were not available at the time of publication.",44 ,39 , 48,"Children estimates were not available at the time of publication.",49 ,44 , 55,"Children estimates were not available at the time of publication.",56 ,49 , 62,"Children estimates were not available at the time of publication.",60 ,53 , 67,"Children estimates were not available at the time of publication.",64 ,56 , 71,"Children estimates were not available at the time of publication.",69 ,60 , 78,"Children estimates were not available at the time of publication.",71 ,62 , 80,"Children estimates were not available at the time of publication.",76 ,65 , 86,"Children estimates were not available at the time of publication.",75 ,65 , 85,"Children estimates were not available at the time of publication."
Slovakia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovenia,40 ,26 , 52,"Children estimates were not available at the time of publication.",41 ,27 , 53,"Children estimates were not available at the time of publication.",43 ,28 , 56,"Children estimates were not available at the time of publication.",49 ,32 , 63,"Children estimates were not available at the time of publication.",55 ,36 , 70,"Children estimates were not available at the time of publication.",60 ,39 , 77,"Children estimates were not available at the time of publication.",68 ,44 , 87,"Children estimates were not available at the time of publication.",75 ,49 , 96,"Children estimates were not available at the time of publication.",79 ,51 , >98,"Children estimates were not available at the time of publication.",81 ,52 , >98,"Children estimates were not available at the time of publication.",87 ,56 , >98,"Children estimates were not available at the time of publication."
Somalia,6 ,6 , 7,,9 ,8 , 10,,10 ,9 , 12,,14 ,13 , 16,,17 ,15 , 20,,22 ,19 , 25,,26 ,23 , 30,,31 ,27 , 35,,35 ,31 , 39,,39 ,34 , 44,,43 ,38 , 48,
South Africa,23 ,15 , 31,,30 ,19 , 40,,38 ,24 , 50,,43 ,28 , 56,,48 ,31 , 62,,52 ,34 , 69,,57 ,37 , 74,,61 ,40 , 80,,65 ,42 , 84,,68 ,45 , 88,,... ,... , ...,
South Sudan,2 ,1 , 2,,3 ,2 , 3,,3 ,2 , 4,,5 ,4 , 6,,7 ,6 , 9,,12 ,9 , 15,,12 ,9 , 15,,14 ,11 , 18,,18 ,14 , 23,,20 ,15 , 25,,23 ,18 , 29,
