country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.new.tpt,hiv.new,hiv.all.tpt,hiv.all,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.all.tpt.completed,hiv.all.tpt.started,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Canada,CA,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Canada does not collect this information at the national level.
",,,1,,"Canada does not collect this information at the national level.
",,,,,1,,"Canada does not collect this information at the national level.
",,,1,,"Canada does not collect this information at the national level.
",2022-08-26,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,CD,2021,128141,44171,36867,2919,1737,573,1379,,209179,214408,6608,215787,128141,3705,0,,1,221,4184,,,9622,,,,18187,23989,24340,18988,13646,8348,107498,60,3511,,,9456,,,,15706,17515,16994,13408,10241,6152,80016,61,26773,60,20148,,,1,,1236,25,0,1125,59,17,1,690,1,29,1,644,824,0,,28577,3016,653,583,2292,161,235,218,188,167,235,218,188,167,583,25,0,0,0,0,0,0,0,0,25,0,,0,167052,13373,10990,0,,,,0,,10990,0,,,6459,96516,0,,,55640,96516,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Central African Republic,CF,2021,6813,3458,2521,255,84,85,212,,12792,13216,636,13428,6770,255,43,0,1,221,346,,,518,,,,1057,1728,1602,1232,662,352,6633,0,349,,,480,,,,1033,1370,1082,733,361,233,4812,0,1693,60,2598,,,1,"1) La désagrégation par tranche d'âge et sexe n'a pris en compte qu'une partie des données notamment celles de l'Institut Pasteur de Bangui.
2) Le nombre de tests réalisés chez les nouveaux cas et rechutes n'a concerné que les laboratoires de : Institut Pasteur de Bangui; Saint Michel de Bouar et le Laboratoire de Biologie Clinique et de Santé Publique. Les données des autres laboratoires ne font pas la différence entre les nouveaux, les rechutes et les autres cas retraitement.
",119,0,0,100,4,0,0,,0,,0,,0,0,,660,53,54,27,,,32,14,31,11,31,13,31,11,53,0,0,0,0,0,0,0,0,0,0,0,"*Pour les questions 2.28 et 2.29, les résultats concernent uniquement trois laboratoires, Institut Pasteur de Bangui, Laboratoire National de Biologie Clinique et de Santé Publique et labortoire Saint Michel de Bouar qui dans leur base de données ont mentionné les antécédents des patients.

*Les question 2.30, 2.31, 2.33 et 2.34 sont uniquement les données de l'Institut Pasteur de Bangui.",1,10627,2940,2853,0,,,,0,,3003,0,,,,,1,,,,,,,0,Record removed by UNAIDS,,2544,2966,0,,,2022-08-26,0,,,,,,,,,0,,,,,,
Congo,CG,2021,4718,4189,2891,90,58,33,173,,11798,11979,354,12152,4718,90,0,,1,221,152,,,327,,,,1089,1565,1517,1137,663,429,6400,0,128,,,292,,,,913,997,927,755,548,540,4680,0,899,60,4847,,,1,,133,0,0,131,5,0,1,46,0,,1,46,,1,"Le nombre de patients qui ont commencé un traitement pour TB-MR, TB pre et TB-UR qui ont fait l'objet d'une surveillance active des effets indésirables n'ont pas été notifiés ",2015,0,133,0,,,133,0,133,0,133,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5088,966,621,0,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Switzerland,CH,2021,319,25,11,0,0,0,9,8,355,355,9,364,252,8,67,257,1,220,2,0,2,,,16,20,,36,43,29,20,31,195,0,2,1,0,,,6,10,,45,29,10,26,27,153,0,7,60,243,,,0,,4,1,0,4,0,1,1,1,3,,3,,0,0,,220,7,5,0,,,219,6,16,0,5,0,5,0,4,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,1,
Côte d'Ivoire,CI,2021,14350,2081,3155,984,95,64,343,,19586,20729,1486,21072,14350,1307,0,,1,221,199,,,417,,,,1967,3274,3539,2201,1175,858,13014,0,189,,,427,,,,1362,1549,1499,901,644,528,6483,0,1232,60,7100,,,1,,507,18,0,447,4,8,1,363,0,,1,353,455,0,,8494,1307,252,255,,,252,255,91,87,252,255,91,87,,,,,,,,,,,,1,,1,20612,2733,2632,,,,,0,,,0,Record removed by UNAIDS,,,,1,,"Registre TARV;
Rapport SIG,
DHIS2
",,,,,0,Record removed by UNAIDS,"DHIS2,
Registre de dispensation des ARV?
Registre de dispensation d
",,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Cook Islands,CK,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,222,,,,,0,,,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0,60,0,,,0,No TB case detected in 2021,0,0,0,0,0,0,0,,0,,0,,0,0,No TB case detected in 2021,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No TB case detected in 2021,,0,0,0,,,,,0,No new case of TB in 2021,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,No survey done in Cook Islands,,,,,
Chile,CL,2021,1843,125,524,115,5,19,96,,2492,2631,235,2727,1843,199,0,683,1,220,21,12,11,,,43,105,,310,267,264,279,307,1575,0,18,10,15,,,37,71,,215,161,125,156,204,969,0,87,60,1714,,,0,,55,5,1,54,0,5,1,55,1,0,1,55,60,0,,1772,179,38,13,,,1772,178,72,14,38,13,22,4,51,5,0,0,0,0,5,0,0,0,0,0,,1,2272,215,202,1,59,0,0,1,,202,0,,,112,3955,0,,,90,3955,125,45947,0,,,36,85,0,,"
No se dispone del detalle respecto de las personas que iniciaron profilaxis el 2020 y que completaron la profilaxis el año 2021 según año de inicio de TAR. Los datos consignados corresponden a la totalidad de personas en TAR (nuevos y antiguos) que iniciaron profilaxis el 2020 y que completaron la profilaxis el año 2021. 
No se dispone de la información por esquema de profilaxis.",2022-08-26,0,,,,,,,,,0,,,,,,
Cameroon,CM,2021,14095,4376,2908,1030,0,0,457,,21379,22409,1487,22866,14095,1487,0,138,1,221,248,,,388,,,,1996,3531,3263,2348,1489,1045,13672,0,244,,,421,,,,1550,1914,1763,1009,707,493,7436,0,1301,60,5150,,,0,"Du fait que les outils moléculaires ne sont pas disponibles sur toute l'étendue du territoire, le 2.11 représente la somme issue des populations prioritaires (enfants de moins de 5 ans, PVVIH et prisonniers) du programme.",137,1,0,107,2,1,1,16,0,,1,16,0,0,La transition au régime court complètement oral a été effective à partir de septembre 2021 dans deux sites (Yaoundé et Douala) de prise en charge sur onze.,5161,1447,56,81,,,15,15,12,13,15,15,12,13,16,0,0,0,0,0,0,0,0,0,0,0,les données concernant la résistance à la rifampicine et à l'isoniazide sont encore partielles.,0,21514,4375,4316,0,,,,0,,,0,Record removed by UNAIDS,,4286,75954,0,,,,,,,0,Record removed by UNAIDS,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
China,CN,2021,296854,222814,28192,28594,8551,335,8403,,547860,585340,45883,593743,296854,36997,0,423,1,221,217,,,3009,,,,39833,47483,40576,72726,80524,114369,395511,0,150,,,3599,,,,28264,31132,20947,26552,27281,48678,182854,0,6975,60,332535,,,0,,16766,60,0,12803,63,43,1,326,1,12595,1,0,12846,0,,237238,33946,10044,6782,23805,3034,132810,21505,11591,4634,6020,4115,4210,3140,188,60,,,,,,,,,,1,"The resistance  rate of LZD and  BDQ  is currently  less than 1% respectively  in China, and  routine surveillance has not been conducted  yet.",1,407781,5429,4711,0,,,,0,,4488,0,,,1629,127186,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Colombia,CO,2021,8256,2846,2202,240,83,32,432,,13304,13659,787,14091,8000,511,256,879,1,220,88,46,60,,,345,973,,2261,1443,1063,1147,1654,8886,0,77,29,73,,,257,484,,963,644,531,631,890,4400,0,373,60,5284,,,0,,197,8,2,195,7,8,1,195,1,180,1,15,203,0,,3134,289,34,10,,,34,14,14,14,34,5,14,5,7,7,0,0,0,0,0,0,2,5,0,0,,1,12191,1488,847,1,302,7,3,0,"Se genera comentario en relación a que para VIH y TB en ARV se envidencia diferentes fuentes de datos una de ellas cuenta de alto costo que evidencia un subregistro de datos comparado con los que aparecen en el PNT. Adicional los datos reportados por ONUSIDA, diferenten en tiempo de reporte a los que se estan solictando para el informe de TB 2022. ",640,0,,,404,10041,0,,,,,,,0,Record removed by UNAIDS,,,,0,Record removed by UNAIDS,,2022-08-26,0,,,,,,,,,0,,,,,,
Costa Rica,CR,2021,291,4,48,7,0,0,7,,343,350,14,357,291,14,0,81,1,220,5,3,1,,,11,21,,49,34,36,46,27,224,0,1,0,2,,,6,10,,21,20,18,18,21,114,0,12,60,132,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,No hubo resistencia a Rifampicina para el 2021,122,4,0,0,,,122,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,336,41,,1,12,0,0,1,El punto 2.46 no se tiene el dato,40,0,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Cuba,CU,2021,329,102,46,26,3,3,11,,477,509,43,520,329,37,0,1,1,220,3,1,1,,,4,12,,66,59,114,71,51,377,,1,1,3,,,9,8,,23,20,18,19,25,122,,10,60,48,,,1,,2,0,,,,,0,,0,,0,,1,1,,133,19,1,1,,,111,14,1,3,1,1,0,0,2,0,,,,,,,,,,1,,1,509,27,27,1,0,0,0,1,,27,0,,,27,1656,0,,,754,1656,754,29689,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Cabo Verde,CV,2021,142,16,11,10,3,0,3,,169,182,16,185,142,13,0,6,1,221,0,,,0,,,,11,30,45,22,12,9,129,0,0,,,2,,,,13,16,9,6,2,5,51,0,2,60,85,,,0,,1,0,0,1,0,0,0,,1,1,0,,1,0,,98,11,0,1,,,98,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,185,15,15,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Curaçao,CW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Cyprus,CY,2021,34,2,10,2,0,0,0,0,46,48,2,48,33,2,1,46,1,220,0,0,0,,,4,3,,7,4,2,3,0,23,0,0,0,0,,,1,3,,11,5,4,1,0,25,0,0,60,21,,,,Data extracted from ECDC/TESSy 2022-08-26,3,0,0,3,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,29,2,3,0,,,29,2,7,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Czechia,CZ,2021,267,31,34,16,3,1,5,0,332,352,25,357,267,20,0,132,1,220,4,1,2,,,5,7,,32,42,59,50,53,248,0,3,1,1,,,2,9,,18,15,12,11,25,92,0,12,60,264,,,,Data extracted from ECDC/TESSy 2022-08-26,8,2,0,6,0,2,1,8,1,6,0,,8,0,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,239,15,9,0,,,239,15,20,1,9,0,9,0,7,2,0,0,0,0,2,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,0,212,7,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,139891,3061,34,0,
Germany,DE,2021,2362,252,1064,80,7,27,104,19,3678,3792,218,3896,1720,147,642,2782,1,220,36,11,23,,,116,303,,568,362,316,284,412,2361,2,33,16,34,,,63,144,,309,198,149,127,283,1273,1,153,60,3267,,,,Data extracted from ECDC/TESSy 2022-08-26,85,11,0,48,0,10,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,1440,108,54,9,,,1421,106,112,11,53,9,44,8,39,5,0,0,0,0,0,0,1,4,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,1,In 2021 112 deaths because of TB were notified.
Djibouti,DJ,2021,789,152,771,87,,,,,1712,1799,87,1799,789,87,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,0,"2.4: Hazim Timimi (WHO/Geneva) removed the reported value of 1799 on 2022-08-29 as it seemed like a data entry error (no response from NTP despite repeated emails).
2.6 la nationalité n’est pas appliquée dans le pays 2.7; 2.8 et 2.9 pas des données de désagrégation.
 ",,,0,26,0,,0,,0,,0,,,0,pas d’examens de culture fonctionnel,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1093,30,15,,,,,0,"2.46LES 15 COINFECTES MIS SOUS ARV SONTLES NOUVEAUX CAS DEPISTER DURANT L ANNEE 2021.
LES 40 RAPPORTES PAR LE PROGRAMME SIDA INCLUS LES ANCIENS CAS.",40,0,,,21,210,0,,,71,208,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,,,
Denmark,DK,2021,117,23,51,,,,17,2,191,191,17,208,117,14,0,147,1,220,1,1,1,,,5,5,,24,17,19,19,19,108,0,2,0,1,,,8,3,,12,16,18,9,11,77,0,6,60,183,,,,Data extracted from ECDC/TESSy 2022-08-26,0,1,0,0,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,113,12,1,0,,,113,12,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Dominica,DM,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,Not applicable,0,0,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Dominican Republic,DO,2021,1969,767,281,172,121,16,220,,3017,3326,529,3546,1969,309,0,398,1,220,8,8,10,,,55,170,,567,480,359,265,224,2120,0,8,7,14,,,57,123,,265,241,197,135,133,1151,0,55,60,2545,,,0,,175,12,7,177,5,15,1,111,1,183,0,,199,0,,1724,273,125,32,,,354,68,85,21,55,16,47,13,108,11,,,,,,,,,,1,"Parte de la información de 2.36 y 2.37 fue tomada de la base de TB DR, donde los pacientes RR son seguidos en esta base de datos y no tienen la información en el evento del SIOE. ",1,3163,768,672,1,54,10,7,0,,655,0,,,206,5855,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Algeria,DZ,2021,4635,799,13391,187,,,110,,18825,19012,297,19122,4635,297,0,,,222,,,,,46,,,398,717,487,394,285,327,2608,,,,,,79,,,436,356,224,167,194,298,1675,,125,0,,,,1,le nombre de cas dans 2.9 correspond à la répartion des nouveux cas de tuberculose pulmonaire à microscopie positive.,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,1,HIV testing in TB patients is not routinely applied yet. the application of this WHO guideline has been included in the updated version of the national guide which will be published in the second half of this year.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,,,
Ecuador,EC,2021,3982,576,759,278,0,0,378,,5317,5595,656,5973,3982,656,0,67,1,221,46,,,67,,,,840,1178,718,450,424,343,3953,0,52,,,58,,,,302,316,224,188,188,201,1419,0,223,61,,400,400,0,"La información de esta sección solo corresponde a casos de TB sensible. 

Las pruebas de diagnóstico rápido realizadas corresponden a pruebas Xpert MTB/RIF efectuadas en personas privadas de la libertad de la Zona 8 por ser la zona geográfica con más alta carga de la enfermedad",401,18,0,335,12,7,1,77,0,,0,,77,0,"Los casos reportados en esta pagina no estan incluidos en los numerales 2.1 al 2.4, debido a las fuentes de información que no permiten recolectar todos los datos. 

Se inició tratamientos acortados orales con bedaquilina y BpAL a partir de septiembre del 2021; las pruebas para resistencia a quinolonas se realizaron mediante métodos convencionales implementando pruebas MTB/XDR a partir de febrero 2022,la incorporación de casos diagnosticados en el 2021 al 2022.",4406,,427,,,,2060,,408,,226,,205,,131,18,,,,,,,,,,1,"En el numeral 2.32 que se reporta 2060 pruebas de resistencia a R y H corresponde al total de pruebas de todos los afectados nuevos y antes tratados, el sistema informativo no permite desglosar de acuerdo al requerimiento.

En el numeral 2.28 y 2.29 se reporta el total de pruebas, ya que el sistema de información no nos permite desglosar entre nuevos y antes tratados.

Ecuador no realiza pruebas de sensibilidad a bedaquilina y/o linezolid.",1,3200,579,579,1,223,26,,1,No se dispone de información desglosada por edades de los pacientes con TB nuevos y recaídas con VIH de 0 a 14 años que comenzó o continuó con la terapia antirretroviral (TAR).,579,0,,"Libros de registro de casos de los establecimientos de salud a nivel nacional
Nota: la OMS calcula estimaciones anuales del número de casos incidentes de TB entre personas que viven con el VIH. Las estimaciones de 2021, basadas en datos proporcionados por países",415,3513,0,,"Libros de registro de casos de los establecimientos de salud a nivel nacional
",92,3513,,,0,,"
NO SE TIENE EL DATO DESAGREGADO POR SEXO NI EDAD",,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Estonia,EE,2021,77,11,4,10,5,0,4,0,92,107,19,111,77,14,0,19,1,220,0,0,0,,,2,2,,4,17,15,13,13,66,0,0,0,0,,,0,4,,5,3,4,8,17,41,0,0,60,87,,,,Data extracted from ECDC/TESSy 2022-08-26,16,9,0,12,0,7,1,,1,,1,,,1,"{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. 2.27 All MDR cases are monitored for adverse events, any details about treatment regimens are collected to TB register after result of treatment outcome. All MDR cases are consulted in MDR-TB consilium advisory board, all oral treatment regimens are preferred, also new drugs (bedaquiline, delamanid, pretonamid) are available, all MDR cases have individual treatment regimens according to DST, patient`s age, comorbidities, side effects",74,13,16,9,,,68,13,19,9,14,9,14,9,23,9,2,0,0,0,2,4,0,0,1,1,Data extracted from ECDC/TESSy 2022-08-26,1,99,12,10,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,"Costs of multidrug-resistant TB treatment in Finland and Estonia affected by the 2019 WHO guidelines.Feuth, T; Patovirta, R-L; Grierson, S; Danilovits, M; Viiklepp, P; Aaltonen, H K; Vauhkonen, M; Pehme, L; Vasankari, T (2021). Costs of multidrug-resistant TB treatment in Finland and Estonia affected by the 2019 WHO guidelines. The International Journal of Tuberculosis and Lung Disease, 25 (7), 554−559. DOI: 10.5588/ijtld.20.0892. ",18343,256,13,0,Data of 2021 deaths is preliminary form Estonian Causes of Death Registry.
Egypt,EG,2021,3328,0,3143,195,0,95,146,,6471,6761,436,6907,3328,341,0,584,1,221,79,,,143,,,,720,1096,851,556,495,325,4043,0,35,,,188,,,,593,512,385,309,297,177,2273,0,445,60,6037,,,0,,104,2,0,76,1,2,1,33,1,33,0,,76,0,,2962,306,75,25,,,2962,306,44,20,75,25,23,8,100,2,0,0,0,0,0,0,0,0,2,0,,0,3654,12,12,,,,,0,,,,Reporting dates were not provided.,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Eritrea,ER,2021,622,326,543,76,21,15,23,,1491,1603,135,1626,622,76,0,0,1,221,73,,,80,,,,128,139,105,103,101,125,701,0,54,,,78,,,,119,129,116,92,93,68,617,0,285,60,1149,,,0,,26,0,0,26,0,0,1,26,1,26,0,,26,0,,622,76,23,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1576,41,41,,,,,0,,41,0,,,6,276,0,,,52,276,177,8775,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Spain,ES,2021,2123,283,965,0,0,0,138,5,3371,3371,138,3509,1385,97,738,1304,1,220,37,11,30,,,58,132,,324,335,383,328,461,2021,4,32,13,18,,,32,68,,243,222,192,137,303,1197,7,141,60,1323,,,,Data extracted from ECDC/TESSy 2022-08-26,33,1,0,0,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. ,1046,60,25,1,,,1029,60,67,6,22,1,17,1,5,1,0,0,0,0,0,0,0,0,1,1,Data extracted from ECDC/TESSy 2022-08-26,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
Ethiopia,ET,2021,43661,25676,32210,3059,,,248,,101547,104606,3307,104854,43661,3059,,,1,221,1612,,,3560,,,,13854,14740,9958,6827,4577,3202,53158,,1130,,,3923,,,,11645,12663,8031,4838,2624,1422,41223,,10225,0,,,,1,,514,4,0,514,26,4,1,376,1,279,1,126,324,0,,21240,2698,480,34,,,30,63,12,25,13,28,11,24,438,4,,,2,,,2,,,0,1,,1,86168,4467,4404,0,,,,1, Communication is underway with the National AIDS program to fix the discripancy.,4404,0,,"previously submitted data used ART register as a source data. As the TB-Unit register is the main and reliable data source for this indicator, Data is updated accordingly.
",1430,30505,0,,,19612,30505,187009,,0,,"
currently on ART  TPT data is from parallel report  only for few regions (6).

TPT data for currently / previously enrolled is not reported through the national HMIS /DHIS2 system. To fill the gap, regions collect and aggregate  HF level data for TPT backlog clearance. Such data is monitored at the facility level and reported parallelly for program monitoring purposes and it is reported only from few(6) regions. Therefore, we have decided to report the data ( TPT for currently enrolled ) using the data in hand. 

Recommendation - we can remove the TPT data for currently enrolled if it is not well justified, mainly for those who are previously enrolled.",,,0,Record removed by UNAIDS,"No age category data for 
TPT completion is higher than initiation; this  could be due to :
-Delayed TPT initiation for previously enrolled ART clients 
-Data quality issues in TB/HIV program
The same to 7.9, TPT completion is not reported through  DHIS2. The figure reported for this FY(2021) was collected parallelly from few regions. Though the period considers those who started TPT prior to the reporting period, the report is incomplete. This might be improved for future reporting periods as the indicators are being included under the revised list of indicators.",2022-08-26,0,,,,,,,,,0,,,,,,
Finland,FI,2021,105,10,52,2,0,1,0,0,167,170,3,170,101,2,4,70,1,220,1,0,0,,,5,9,,20,10,6,8,49,107,0,1,1,1,,,2,4,,12,3,5,5,28,59,0,4,60,105,,,,Data extracted from ECDC/TESSy 2022-08-26,3,0,0,1,0,0,1,2,1,2,0,,2,0,"{2.14-2-20: Data extracted from ECDC/TESSy 2022-08-26}. 3 patients were diagnosed with MDR/XDR-TB in Finland during the year 2021. However, one patient returned back to Estonia before treatment was started. Thus, only 2 patients received  treatment in Finland.",87,0,2,0,,,87,0,7,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,Data extracted from ECDC/TESSy 2022-08-26,1,,3,3,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,1,
Fiji,FJ,2021,132,126,72,5,5,2,30,,330,342,42,372,132,5,0,9,1,221,8,,,16,,,,28,43,34,35,25,17,182,0,11,,,15,,,,19,25,21,13,18,10,106,4,50,60,138,,,0,,4,0,0,3,1,0,1,2,0,,1,3,3,0,,127,5,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,344,28,28,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
