variable.name,display.section,definition,code.list,lag,source,validity.years,notes,calculation,display.via.web
dissem_charter,Strategy,Has the Patients' Charter for Tuberculosis Care been printed and disseminated to TB treatment centres?,0=No; 1=yes,0,"Strategy, Data collection form",,NEW VARIABLE,,0
dr_h_nr_new,Drug resistance surveillance,Number of new pulmonary bacteriologically confirmed TB patients with test results for isoniazid and rifampicin and with resistance to isoniazid and no resistance to rifampicin,,0,DR surveillance data collection form,1999 - 2016,Dropped 2018 data collection year. Denominator was dst_rlt_new,,0
dr_h_nr_ret,Drug resistance surveillance,Number of previously treated pulmonary bacteriologically confirmed TB patients with test results for isoniazid and rifampicin and with resistance to isoniazid and no resistance to rifampicin,,0,DR surveillance data collection form,1999 - 2016,Dropped 2018 data collection year. Denominator was dst_rlt_new,,0
dr_r_nh_new,Drug resistance surveillance,Number of new pulmonary bacteriologically confirmed TB patients with test results for isoniazid and rifampicin and with resistance to rifampicin and no resistance to isoniazid,,0,DR surveillance data collection form,1999 - 2016,Dropped 2018 data collection year. Denominator was dst_rlt_new,,0
dr_r_nh_ret,Drug resistance surveillance,Number of previously treated pulmonary bacteriologically confirmed TB patients with test results for isoniazid and rifampicin and with resistance to rifampicin and no resistance to isoniazid,,0,DR surveillance data collection form,1999 - 2016,Dropped 2018 data collection year. Denominator was dst_rlt_new,,0
drtb_surv_new_cil,Strategy,Lower limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of new TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_new_ciu,Strategy,Upper limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of new TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_new_prev,Strategy,Prevalence of MDR-TB (%) estimated using nationwide representative surveys of new TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_new_yr,Strategy,Year in which prevalence of MDR-TB was estimated using nationwide representative surveys of new TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_ret_cil,Strategy,Lower limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of retreatment TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_ret_ciu,Strategy,Upper limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of retreatment TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_ret_prev,Strategy,Prevalence of MDR-TB (%) estimated using nationwide representative surveys of retreatment TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surv_ret_yr,Strategy,Year in which prevalence of MDR-TB was estimated using nationwide representative surveys of retreatment TB cases,,0,"Strategy, Data collection form",,NEW VARIABLE,,0
drtb_surveil,Strategy,Was there a national surveillance system to measure the prevalence of drug resistance among TB cases?,0=No; 1=yes,0,"Strategy, Data collection form",,,,0
dst,Laboratories,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year,,0,"Surveys and services, Data collection form",2015 - 2019,Dropped in 2021 dcyear,,1
dst  (old version),Notification,"New and re-treatment patients who received diagnostic drug susceptibility testing (DST, including rapid tests)",,0,"Notification, Data collection form",Dropped 2009,"Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",,0
dst_bdq,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_bdq_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_eqa_pass,Laboratories,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing,,0,"Surveys and services, Data collection form",2015 - 2019,Dropped in 2021 dcyear,,1
dst_impl,Strategy,Has conventional Drug Susceptibility Testing (DST) (solid or liquid methods) been implemented by public TB services for diagnosing TB?,0=No; 1=yes,0,"Strategy, Data collection form",2009 -,added in 2010 data collection form,,0
dst_in_guide,Strategy,Is conventional Drug Susceptibility Testing (DST) (solid or liquid methods)  included in TB control guidelines for diagnosis?,0=No; 1=yes,0,"Strategy, Data collection form",2009 -,added in 2010 data collection form,,0
dst_inh,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for isoniazid at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_inh_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for isoniazid that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_lzd,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for linezolid at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_lzd_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for linezolid that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_mdr,Notification,"Confirmed MDR-TB cases among new and re-treatment patients who received diagnostic drug susceptibility testing (DST, including rapid tests)",,0,"Notification, Data collection form",Dropped 2009,"Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",,0
dst_mdr_sld,Notification,Confirmed MDR-TB cases started on treatment with second-line drugs,,0,"Notification, Data collection form",Dropped 2009,"Removed from views in Feb 2013; In 2010, disaggregated version used = mdr_tx_glc + mdr_tx_not_glc",,0
dst_mdr_sldst,Notification,MDR cases that  received 2nd-line DST,,0,"Notification, Data collection form",Dropped 2009,"Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",,0
dst_mdr_sldst_xdr,Notification,DR cases that  received 2nd-line DST found to have  XDR-TB,,0,"Notification, Data collection form",Dropped 2009,"Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",,0
dst_moxlev,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for moxifloxacin and/or levofloxacin at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_moxlev_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for moxifloxacin and/or levofloxacin that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_pza,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for pyrazinamide at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_pza_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for pyrazinamide that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_rif,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for rifampicin at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,"Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",,1
dst_rif_eqa_pass,Laboratories,Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for rifampicin that demonstrated proficiency by panel testing in the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
dst_rlt_hr_new,Drug resistance surveillance,Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin),,0,DR surveillance data collection form,2017 -,Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_new.,,1
dst_rlt_hr_ret,Drug resistance surveillance,Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin),,0,DR surveillance data collection form,2017 -,Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section. Denominator is dst_rlt_ret.,,1
dst_rlt_new,Drug resistance surveillance,Drug resistance surveillance: Among new pulmonary TB patients with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin,,0,DR surveillance data collection form,1999 -,"In 2018 data collection year became ""Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid"";  switched from notification to DR surveilance csv files 2018 dcyear",,1
dst_rlt_ret,Drug resistance surveillance,Drug resistance surveillance: Among patients previously treated for TB with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin,,0,DR surveillance data collection form,1999 -,"In 2018 data collection year became ""Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid""; switched from notification to DR surveilance csv files 2018 dcyear",,1
dst_rlt_rr_new,Drug resistance surveillance,Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid),,0,DR surveillance data collection form,2017 -,Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_new.,,1
dst_rlt_rr_ret,Drug resistance surveillance,Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid),,0,DR surveillance data collection form,2017 -,Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_ret.,,1
dst_rlt_unk,Notification,Drug resistance surveillance: Among patients with unknown TB treatment history with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin,,0,DR surveillance data collection form,1999 - 2014,Dropped 2016 data collection year -- ignoring cases with unknown previous treatment history; dropped from public csv files 2018 dcyear (now have a separete dr surveillance file),,0
dx_alg_tbhiv_impl,Strategy,"Has an algorithm for the diagnosis of TB in HIV-positive people, which includes use of all investigations at the same time including CXR, culture (when available) and no use of an antibiotic trial been implemented by public TB services for diagnosing TB?",0=No; 1=yes,0,"Strategy, Data collection form",,NEW VARIABLE,,0
dx_alg_tbhiv_in_guide,Strategy,"Is an algorithm for the diagnosis of TB in HIV-positive people, which includes use of all investigations at the same time including CXR, culture (when available) and no use of an antibiotic trial included in TB control guidelines for diagnosis?",0=No; 1=yes,0,"Strategy, Data collection form",,NEW VARIABLE,,0
dx_test_sites,Laboratories,Total number of sites providing laboratory diagnostic testing for TB at the end of the reporting year,,0,"Surveys and services, Data collection",2020 -,Part of major revision of lab variables in dcyear 2021,,1
e_gp_art_num,Estimates,Estimated number of patients on ART for Global Plan,,0,WHO STB TME,,,,0
e_gp_mdr_num,Estimates,Estimated MDR cases for Global Plan,,0,WHO STB TME,,,,0
e_gp_plwh_ipt_num,Estimates,Estimated number of people living with HIV who were on IPT for Global Plan,,0,WHO STB TME,,,,0
e_gp_plwh_tbscreen_num,Estimates,Estimated number of people living with HIV who were screened for TB for Global Plan,,0,WHO STB TME,,,,0
e_gp_snep_num,Estimates,Estimated smear negative/extrapulmonary cases for Global Plan,,0,WHO STB TME,,,,0
e_gp_sp_num,Estimates,Estimated smear positive cases for Global Plan,,0,WHO STB TME,,,,0
e_gp_sp_txsuc_num,Estimates,"Estimated number of smear positive cases treated successfully, for Global Plan",,-1,WHO STB TME,,,,0
e_gp_tb_cpt_num,Estimates,Estimated TB cases who were on CPT for Global Plan,,0,WHO STB TME,,,,0
e_gp_tb_hivcare_num,Estimates,Estimated TB cases who were on HIV care for Global Plan,,0,WHO STB TME,,,,0
e_gp_tb_hivprevent_num,Estimates,Estimated TB cases who were on HIV prevention for Global Plan,,0,WHO STB TME,,,,0
e_gp_tb_hivtest_num,Estimates,Estimated TB cases who had an HIV test for Global Plan,,0,WHO STB TME,,,,0
e_hh_size,Latent TB infection estimates,Estimated average household size,,,WHO GTB,2015 -,,,1
e_inc_100k,Estimates,Estimated incidence (all forms) per 100 000 population,,0,WHO STB TME,,,,1
e_inc_100k_hi,Estimates,"Estimated incidence (all forms) per 100 000 population, high bound",,0,WHO STB TME,,,,1
e_inc_100k_lo,Estimates,"Estimated incidence (all forms) per 100 000 population, low bound",,0,WHO STB TME,,,,1
e_inc_acq_mdr_100k,Estimates,Estimated rate of acquired MDR-TB cases per 100 000 population,,,WHO STB TME,,,,0
e_inc_acq_mdr_num,Estimates,Estimated number of acquired MDR-TB cases,,,WHO STB TME,,,,0
e_inc_f04_num,Estimates,"Estimated number of incident cases that are female, age 0 - 4",,0,WHO STB TME,,,,0
e_inc_f04_num_hi,Estimates,"Estimated number of incident cases that are female, age 0 - 4 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f04_num_lo,Estimates,"Estimated number of incident cases that are female, age 0 - 4 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f1524_num,Estimates,"Estimated number of incident cases that are female, age 15 - 24",,0,WHO STB TME,,,,0
e_inc_f1524_num_hi,Estimates,"Estimated number of incident cases that are female, age 15 - 24 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f1524_num_lo,Estimates,"Estimated number of incident cases that are female, age 15 - 24 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f2534_num,Estimates,"Estimated number of incident cases that are female, age 25 - 34",,0,WHO STB TME,,,,0
e_inc_f2534_num_hi,Estimates,"Estimated number of incident cases that are female, age 25 - 34 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f2534_num_lo,Estimates,"Estimated number of incident cases that are female, age 25 - 34 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f3544_num,Estimates,"Estimated number of incident cases that are female, age 35 - 44",,0,WHO STB TME,,,,0
e_inc_f3544_num_hi,Estimates,"Estimated number of incident cases that are female, age 35 - 44 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f3544_num_lo,Estimates,"Estimated number of incident cases that are female, age 35 - 44 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f4554_num,Estimates,"Estimated number of incident cases that are female, age 45 - 54",,0,WHO STB TME,,,,0
e_inc_f4554_num_hi,Estimates,"Estimated number of incident cases that are female, age 45 - 54 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f4554_num_lo,Estimates,"Estimated number of incident cases that are female, age 45 - 54 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f514_num,Estimates,"Estimated number of incident cases that are female, age 5 - 14",,0,WHO STB TME,,,,0
e_inc_f514_num_hi,Estimates,"Estimated number of incident cases that are female, age 5 - 14 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f514_num_lo,Estimates,"Estimated number of incident cases that are female, age 5 - 14 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f5564_num,Estimates,"Estimated number of incident cases that are female, age 55 - 64",,0,WHO STB TME,,,,0
e_inc_f5564_num_hi,Estimates,"Estimated number of incident cases that are female, age 55 - 64 (upper bound)",,0,WHO STB TME,,,,0
e_inc_f5564_num_lo,Estimates,"Estimated number of incident cases that are female, age 55 - 64 (lower bound)",,0,WHO STB TME,,,,0
e_inc_f65_num,Estimates,"Estimated number of incident cases that are female, age 65+",,0,WHO STB TME,,,,0
e_inc_f65_num_hi,Estimates,"Estimated number of incident cases that are female, age 65+ (upper bound)",,0,WHO STB TME,,,,0
e_inc_f65_num_lo,Estimates,"Estimated number of incident cases that are female, age 65+ (lower bound)",,0,WHO STB TME,,,,0
e_inc_m04_num,Estimates,"Estimated number of incident cases that are male, age 0 - 4",,0,WHO STB TME,,,,0
e_inc_m04_num_hi,Estimates,"Estimated number of incident cases that are male, age 0 - 4 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m04_num_lo,Estimates,"Estimated number of incident cases that are male, age 0 - 4 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m1524_num,Estimates,"Estimated number of incident cases that are male, age 15 - 24",,0,WHO STB TME,,,,0
e_inc_m1524_num_hi,Estimates,"Estimated number of incident cases that are male, age 15 - 24 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m1524_num_lo,Estimates,"Estimated number of incident cases that are male, age 15 - 24 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m2534_num,Estimates,"Estimated number of incident cases that are male, age 25 - 34",,0,WHO STB TME,,,,0
e_inc_m2534_num_hi,Estimates,"Estimated number of incident cases that are male, age 25 - 34 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m2534_num_lo,Estimates,"Estimated number of incident cases that are male, age 25 - 34 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m3544_num,Estimates,"Estimated number of incident cases that are male, age 35 - 44",,0,WHO STB TME,,,,0
e_inc_m3544_num_hi,Estimates,"Estimated number of incident cases that are male, age 35 - 44 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m3544_num_lo,Estimates,"Estimated number of incident cases that are male, age 35 - 44 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m4554_num,Estimates,"Estimated number of incident cases that are male, age 45 - 54",,0,WHO STB TME,,,,0
e_inc_m4554_num_hi,Estimates,"Estimated number of incident cases that are male, age 45 - 54 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m4554_num_lo,Estimates,"Estimated number of incident cases that are male, age 45 - 54 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m514_num,Estimates,"Estimated number of incident cases that are male, age 5 - 14",,0,WHO STB TME,,,,0
e_inc_m514_num_hi,Estimates,"Estimated number of incident cases that are male, age 5 - 14 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m514_num_lo,Estimates,"Estimated number of incident cases that are male, age 5 - 14 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m5564_num,Estimates,"Estimated number of incident cases that are male, age 55 - 64",,0,WHO STB TME,,,,0
e_inc_m5564_num_hi,Estimates,"Estimated number of incident cases that are male, age 55 - 64 (upper bound)",,0,WHO STB TME,,,,0
e_inc_m5564_num_lo,Estimates,"Estimated number of incident cases that are male, age 55 - 64 (lower bound)",,0,WHO STB TME,,,,0
e_inc_m65_num,Estimates,"Estimated number of incident cases that are male, age 65+",,0,WHO STB TME,,,,0
e_inc_m65_num_hi,Estimates,"Estimated number of incident cases that are male, age 65+ (upper bound)",,0,WHO STB TME,,,,0
e_inc_m65_num_lo,Estimates,"Estimated number of incident cases that are male, age 65+ (lower bound)",,0,WHO STB TME,,,,0
e_inc_mdr_100k,Estimates,Estimated rate of MDR-TB among incident new and relapse TB cases per 100 000 population,,,WHO STB TME,,,,0
e_inc_mdr_num,Estimates,Estimated number of MDR-TB among incident new and relapse TB cases,,,WHO STB TME,,,,0
e_inc_mdr_tot_num,Estimates,Estimated number of MDR-TB among incident total cases,,,WHO STB TME,,,,0
e_inc_num,Estimates,Estimated number of incident cases (all forms),,0,WHO STB TME,,,e_inc_100k * e_pop_num / 100000,1
e_inc_num_014,Estimates,Estimated number of incident cases that are aged 0 - 14,,0,GTB,2015 - 2016,,,0
e_inc_num_014_hi,Estimates,Estimated number of incident cases that are male 0 - 14 (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_014_lo,Estimates,Estimated number of incident cases that are aged 0 - 14 (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_15plus,Estimates,Estimated number of incident cases that are aged 15 and over,,0,GTB,2015 - 2016,,,0
e_inc_num_15plus_hi,Estimates,Estimated number of incident cases that are aged 15 and over (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_15plus_lo,Estimates,Estimated number of incident cases that are aged 15 and over (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_f,Estimates,Estimated number of incident cases that are female,,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_f_hi,Estimates,Estimated number of incident cases that are female (upper bound),,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_f_lo,Estimates,Estimated number of incident cases that are female (lower bound),,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_f014,Estimates,Estimated number of incident cases that are female aged 0 - 14,,0,GTB,2015 - 2016,,,0
e_inc_num_f014_hi,Estimates,Estimated number of incident cases that are female aged 0 - 14 (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_f014_lo,Estimates,Estimated number of incident cases that are female aged 0 - 14 (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_f15plus,Estimates,Estimated number of incident cases that are female aged 15 and over,,0,GTB,2015 - 2016,,,0
e_inc_num_f15plus_hi,Estimates,Estimated number of incident cases that are female aged 15 and over (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_f15plus_lo,Estimates,Estimated number of incident cases that are female aged 15 and over (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_hi,Estimates,"Estimated number of incident cases (all forms), high bound",,0,WHO STB TME,,,e_inc_100k_hi * e_pop_num / 100000,1
e_inc_num_lo,Estimates,"Estimated number of incident cases (all forms), low bound",,0,WHO STB TME,,,e_inc_100k_lo * e_pop_num / 100000,1
e_inc_num_m,Estimates,Estimated number of incident cases that are male,,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_m_hi,Estimates,Estimated number of incident cases that are male (upper bound),,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_m_lo,Estimates,Estimated number of incident cases that are male (lower bound),,0,WHO STB TME,2015 - 2016,,,0
e_inc_num_m014,Estimates,Estimated number of incident cases that are male aged 0 - 14,,0,GTB,2015 - 2016,,,0
e_inc_num_m014_hi,Estimates,Estimated number of incident cases that are male aged 0 - 14 (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_m014_lo,Estimates,Estimated number of incident cases that are male aged 0 - 14 (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_m15plus,Estimates,Estimated number of incident cases that are male aged 15 and over,,0,GTB,2015 - 2016,,,0
e_inc_num_m15plus_hi,Estimates,Estimated number of incident cases that are male aged 15 and over (upper bound),,0,GTB,2015 - 2016,,,0
e_inc_num_m15plus_lo,Estimates,Estimated number of incident cases that are male aged 15 and over (lower bound),,0,GTB,2015 - 2016,,,0
e_inc_num_sp,Estimates,Estimated number of incident cases (smear pos),,0,WHO STB TME,,,e_inc_sp_100k * e_pop_num / 100000,0
e_inc_num_sp_hi,Estimates,"Estimated number of incident cases (smear pos), high bound",,0,WHO STB TME,,,e_inc_sp_100k_hi * e_pop_num / 100000,0
e_inc_num_sp_lo,Estimates,"Estimated number of incident cases (smear pos), low bound",,0,WHO STB TME,,,e_inc_sp_100k_lo * e_pop_num / 100000,0
e_inc_rr_num,Estimates,Estimated incidence of rifampicin resistant TB (absolute number),,0,WHO GTB,2015 - 2019,Insructed to remove this in dcyear 2021,,0
e_inc_rr_num_hi,Estimates,Estimated incidence of rifampicin resistant TB (absolute number): high bound,,0,WHO GTB,2015 - 2019,Insructed to remove this in dcyear 2021,,0
e_inc_rr_num_lo,Estimates,Estimated incidence of rifampicin resistant TB (absolute number): low bound,,0,WHO GTB,2015 - 2019,Insructed to remove this in dcyear 2021,,0
e_inc_sp_100k,Estimates,Estimated incidence (new smear-positive cases) per 100 000 population,,0,WHO STB TME,,,,0
e_inc_sp_100k_hi,Estimates,"Estimated incidence (new smear-positive cases) per 100 000 population, high bound",,0,WHO STB TME,,,,0
e_inc_sp_100k_lo,Estimates,"Estimated incidence (new smear-positive cases) per 100 000 population, low bound",,0,WHO STB TME,,,,0
e_inc_sp_num,Estimates,Estimated number of incident cases (new smear-positive cases),,,WHO STB TME,,,,0
e_inc_sp_num_hi,Estimates,"Estimated number of incident cases (new smear-positive cases), high bound",,,WHO STB TME,,,,0
e_inc_sp_num_lo,Estimates,"Estimated number of incident cases (new smear-positive cases), low bound",,,WHO STB TME,,,,0
e_inc_tbhiv_100k,Estimates,Estimated incidence of TB cases who are HIV-positive per 100 000 population,,0,WHO STB TME,,,,1
e_inc_tbhiv_100k_hi,Estimates,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound",,0,WHO STB TME,,,,1
e_inc_tbhiv_100k_lo,Estimates,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound",,0,WHO STB TME,,,,1
e_inc_tbhiv_num,Estimates,Estimated incidence of TB cases who are HIV-positive,,0,WHO STB TME,,,,1
e_inc_tbhiv_num_hi,Estimates,"Estimated incidence of TB cases who are HIV-positive, high bound",,0,WHO STB TME,,,,1
e_inc_tbhiv_num_lo,Estimates,"Estimated incidence of TB cases who are HIV-positive, low bound",,0,WHO STB TME,,,,1
e_mdr_new_num, [deprecated variable],"Estimated MDR among new cases, number  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_new_prct, [deprecated variable],"Estimated MDR among new cases, percent  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_newret_num, [deprecated variable],"Estimated MDR among new and retreatment cases, number  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_newret_prct, [deprecated variable],"Estimated MDR among new and retreatment cases, percent  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_num,Estimates,Estimated number of MDR-TB cases among all notified pulmonary TB cases,,0,WHO STB TME,2011-,, e_new_mdr_prop * (c_new - new_ep)  +   e_ret_mdr_prop * (c_ret),0
e_mdr_num_hi,Estimates,Estimated number of MDR-TB cases among all notified pulmonary TB cases: high bound,,0,WHO STB TME,2011-,,(use a normal approximation to calculate bounds ….),0
e_mdr_num_lo,Estimates,Estimated number of MDR-TB cases among all notified pulmonary TB cases: low bound,,0,WHO STB TME,2011-,,(use a normal approximation to calculate bounds ….),0
e_mdr_pct_rr,Estimates,Estimated percentage of rifampicin resistant TB cases that have MDR-TB,,0,WHO GTB,2017 - 2019,,,0
e_mdr_pct_rr_new,Estimates,Estimated percentage of new rifampicin resistant TB cases that have MDR-TB,,0,WHO GTB,2015 - 2019,,,0
e_mdr_pct_rr_ret,Estimates,Estimated percentage of previously treated rifampicin resistant TB cases that have MDR-TB,,0,WHO GTB,2015 - 2019,,,0
e_mdr_ret_num, [deprecated variable],"Estimated MDR among retreatment cases, number [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_ret_prct, [deprecated variable],"Estimated MDR among retreatment cases, percent [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_new_num, [deprecated variable],"Estimated MDR amongst new smear positive cases, number [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_new_prct, [deprecated variable],"Estimated MDR amongst new smear positive cases, percent [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_newret_num, [deprecated variable],"Estimated MDR amongst new and retreatment smear positive cases, number [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_newret_prct, [deprecated variable],"Estimated MDR amongst new and retreatment smear positive cases, percent [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_ret_num, [deprecated variable],"Estimated MDR amongst retreatment smear positive cases, number  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mdr_sp_ret_prct, [deprecated variable],"Estimated MDR amongst retreatment smear positive cases, percent  [deprecated variable]",,0,WHO STB TME,Dropped 2010,,,0
e_mort_100k,Estimates,Estimated mortality of TB cases (all forms) per 100 000 population,,0,WHO STB TME,,,,1
e_mort_100k_hi,Estimates,"Estimated mortality of TB cases (all forms) per 100 000 population, high bound",,0,WHO STB TME,,,,1
e_mort_100k_lo,Estimates,"Estimated mortality of TB cases (all forms) per 100 000 population, low bound",,0,WHO STB TME,,,,1
e_mort_exc_tbhiv_100k,Estimates,"Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population",,0,WHO STB TME,,,,1
