country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi
Switzerland,CHE,EUR,1,2018,Surveillance,1,N,261,3,,,,,,,,,,,,,261,3,,,,10,,,,3,,,,,,,
Switzerland,CHE,EUR,2,2015,Surveillance,1,A,220,7,,,,0,,,,0,0,,,,,,,,,,,,,,,,,7,,,
Switzerland,CHE,EUR,3,2014,Surveillance,1,A,163,5,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Switzerland,CHE,EUR,4,2013,Surveillance,1,A,196,3,,,,1,,,,0,0,,,,,,,,,,,,,,,,,9,,,
Switzerland,CHE,EUR,5,2012,Surveillance,1,A,246,3,,,,0,,,,0,0,,,,,,,,,,,,,,,,,13,,,
Switzerland,CHE,EUR,6,2011,Surveillance,1,A,304,1,,,,2,,,,0,0,,,,,,,,,,,,,,,,,14,,,
Switzerland,CHE,EUR,7,2010,Surveillance,1,A,270,1,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Switzerland,CHE,EUR,8,2009,Surveillance,1,A,267,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,9,2008,Surveillance,1,A,258,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Switzerland,CHE,EUR,10,2007,pre-2010 TME data collection,1,A,264,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,11,2006,pre-2010 TME data collection,1,A,382,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,12,2005,Surveillance,1,A,326,2,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,
Switzerland,CHE,EUR,13,2004,Surveillance,1,A,340,3,,,,0,,,,,,,,,,,,,,,,,,,,,,16,,,
Switzerland,CHE,EUR,14,2003,Surveillance,1,A,336,8,,,,0,,,,,,,,,,,,,,,,,,,,,,16,,,
Switzerland,CHE,EUR,15,2002,Surveillance,1,A,368,3,,,,0,,,,,,,,,,,,,,,,,,,,,,10,,,
Switzerland,CHE,EUR,16,2001,Surveillance,1,A,342,3,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,
Switzerland,CHE,EUR,17,2000,Surveillance,1,A,330,0,,,,0,,,,,,,,,,,,,,,,,,,,,,18,,,
Switzerland,CHE,EUR,18,1999,Surveillance,1,A,428,3,,,,1,,,,,,,,,,,,,,,,,,,,,,21,,,
Switzerland,CHE,EUR,19,1997,Surveillance,1,A,322,0,,,,0,,,,,,,,,,,,,,,,,,,,,,9,,,
Chile,CHL,AMR,1,2021,Surveillance,1,A,1772,22,,,,,,,,,,,,,1772,38,,,,72,,,,38,,,,,,,
Chile,CHL,AMR,2,2020,Surveillance,1,A,1510,22,,,,,,,,,,,,,1510,35,,,,51,,,,35,,,,,,,
Chile,CHL,AMR,3,2019,Surveillance,1,A,1723,20,,,,,,,,,,,,,1887,39,,,,63,,,,39,,,,,,,
Chile,CHL,AMR,4,2018,Surveillance,1,N,1651,26,,,,,,,,,,,,,1698,42,,,,67,,,,42,,,,,,,
Chile,CHL,AMR,5,2017,Surveillance,1,A,1577,18,,,,,,,,,,,,,1577,31,,,,40,,,,31,,,,,,,
Chile,CHL,AMR,6,2015,Surveillance,1,A,1289,9,,,,10,,,,7,0,,,,,,,,,,,,,,,,,54,,,
Chile,CHL,AMR,7,2014,Surveillance,1,A,1127,14,,,,7,,,,0,0,,,,,,,,,,,,,,,,,29,,,
Chile,CHL,AMR,8,2001,Survey,1,A,867,,0.69,0.25,1.51,,0.12,0,0.64,,,,,,,,,,,,,,,,,,,,3.81,2.62,5.35
Chile,CHL,AMR,9,1997,Survey,1,A,732,,0.41,0.08,1.2,,0.27,0.03,0.99,,,,,,,,,,,,,,,,,,,,3.42,2.21,5.04
China,CHN,WPR,1,2013,Survey,1,A,6540,,5.36,3.81,6.91,,1.77,1.43,2.1,6540,,7.13,5.56,8.7,,,,,,,,,,,,,,,7.49,6.66,8.33
China,CHN,WPR,2,2007,Survey,1,A,3037,,5.7,4.5,7,,0.9,0.6,1.3,,,,,,,,,,,,,,,,,,,,10.24,9.13,11.44
China,CHN,WPR,1001,2005,Survey,0,A,764,,3.93,2.65,5.61,,0.92,0.37,1.89,,,,,,,,,,,,,,,,,,,,7.2,5.42,9.37
China,CHN,WPR,1002,2005,Survey,0,A,1574,,7.18,5.91,8.63,,3.43,2.58,4.48,,,,,,,,,,,,,,,,,,,,9.85,8.36,11.52
China,CHN,WPR,1003,2004,Survey,0,A,1043,,2.3,1.47,3.42,,1.92,1.17,2.96,,,,,,,,,,,,,,,,,,,,6.42,4.98,8.16
China,CHN,WPR,1004,2002,Survey,0,A,806,,7.32,5.57,9.44,,2.48,1.52,3.83,,,,,,,,,,,,,,,,,,,,13.03,10.65,15.77
China,CHN,WPR,1005,2001,Survey,0,A,1222,,7.77,6.29,9.5,,1.8,1.13,2.73,,,,,,,,,,,,,,,,,,,,9.25,7.62,11.12
China,CHN,WPR,1006,1999,Survey,0,A,461,,2.82,1.51,4.77,,0.65,0.13,1.89,,,,,,,,,,,,,,,,,,,,6.51,4.43,9.16
China,CHN,WPR,1007,1999,Survey,0,A,802,,4.49,3.14,6.21,,2,1.14,3.24,,,,,,,,,,,,,,,,,,,,4.36,3.04,6.07
China,CHN,WPR,1008,1999,Survey,0,A,859,,2.1,1.24,3.31,,1.75,0.98,2.88,,,,,,,,,,,,,,,,,,,,7.57,5.84,9.64
China,CHN,WPR,1009,1999,Survey,0,A,818,,10.39,8.3,12.85,,0.98,0.42,1.93,,,,,,,,,,,,,,,,,,,,14.91,12.38,17.81
China,CHN,WPR,1010,1997,Survey,0,A,1009,,2.87,1.92,4.13,,0.89,0.41,1.69,,,,,,,,,,,,,,,,,,,,8.42,6.73,10.42
China,CHN,WPR,1011,1996,Survey,0,A,646,,10.84,8.45,13.69,,3.72,2.38,5.53,,,,,,,,,,,,,,,,,,,,13.16,10.51,16.27
Côte d'Ivoire,CIV,AFR,1,2006,Survey,1,A,320,,2.5,1.09,4.87,,0.63,0.08,2.24,,,,,,,,,,,,,,,,,,,,9.69,6.68,13.47
Côte d'Ivoire,CIV,AFR,2,1996,Survey,1,A,320,,5.31,3.12,8.37,,0,0,0.93,,,,,,,,,,,,,,,,,,,,5.94,3.61,9.12
Democratic Republic of the Congo,COD,AFR,1,2017,Survey,1,A,1152,,0.9,0.4,1.8,,,,,,,,,,1487,,1.8,1,3.2,,7.2,4.8,10.7,,1.7,0.9,3.3,,6.6,4.4,9.8
Cook Islands,COK,WPR,1,2016,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Cook Islands,COK,WPR,2,2013,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Colombia,COL,AMR,1,2005,Survey,1,A,925,,2.4,1.6,3.6,,0,0,0.4,,,,,,,,,,,,,,,,,,,,5.1,3.8,6.7
Colombia,COL,AMR,2,2000,Survey,1,A,1087,,1.47,0.84,2.39,,0.18,0.02,0.66,,,,,,,,,,,,,,,,,,,,8,6.41,9.87
Costa Rica,CRI,AMR,1,2019,Surveillance,1,A,315,1,,,,,,,,,,,,,315,1,,,,8,,,,1,,,,,,,
Costa Rica,CRI,AMR,2,2018,Surveillance,1,N,312,3,,,,,,,,,,,,,312,7,,,,10,,,,7,,,,,,,
Costa Rica,CRI,AMR,3,2017,Surveillance,1,A,289,4,,,,,,,,,,,,,289,4,,,,6,,,,4,,,,,,,
Costa Rica,CRI,AMR,4,2006,Survey,1,A,263,,1.52,0.42,3.85,,0.38,0.01,2.1,,,,,,,,,,,,,,,,,,,,1.9,0.62,4.38
Cuba,CUB,AMR,1,2012,Surveillance,1,A,269,2,,,,4,,,,0,0,,,,,,,,,,,,,,,,,4,,,
Cuba,CUB,AMR,2,2011,Surveillance,1,A,313,3,,,,3,,,,0,0,,,,,,,,,,,,,,,,,9,,,
Cuba,CUB,AMR,3,2005,Surveillance,1,A,169,0,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
Cuba,CUB,AMR,4,2004,Surveillance,1,A,177,0,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Cuba,CUB,AMR,5,2003,Surveillance,1,A,193,1,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,
Cuba,CUB,AMR,6,2002,Surveillance,1,A,195,1,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Cuba,CUB,AMR,7,2000,Surveillance,1,A,377,1,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,
Cuba,CUB,AMR,8,1999,Surveillance,1,A,321,3,,,,0,,,,,,,,,,,,,,,,,,,,,,11,,,
Cuba,CUB,AMR,9,1998,Surveillance,1,A,284,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Cuba,CUB,AMR,10,1997,Surveillance,1,A,241,0,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Cuba,CUB,AMR,11,1996,Surveillance,1,A,426,4,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,
Cuba,CUB,AMR,12,1995,Surveillance,1,A,337,1,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,
Curaçao,CUW,AMR,1,2017,Surveillance,1,A,8,0,,,,,,,,,,,,,8,0,,,,0,,,,0,,,,,,,
Curaçao,CUW,AMR,2,2016,Surveillance,1,A,4,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Curaçao,CUW,AMR,3,2014,Surveillance,1,A,4,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Curaçao,CUW,AMR,4,2013,Surveillance,1,A,2,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Curaçao,CUW,AMR,5,2012,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Curaçao,CUW,AMR,6,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Curaçao,CUW,AMR,7,2010,Surveillance,1,A,5,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Cayman Islands,CYM,AMR,1,2018,Surveillance,1,N,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Cayman Islands,CYM,AMR,2,2017,Surveillance,1,A,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Cayman Islands,CYM,AMR,3,2016,Surveillance,1,A,3,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Cayman Islands,CYM,AMR,4,2013,Surveillance,1,A,3,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Cayman Islands,CYM,AMR,5,2012,Surveillance,1,A,5,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Cayman Islands,CYM,AMR,6,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Cyprus,CYP,EUR,1,2021,Surveillance,1,A,29,3,,,,,,,,,,,,,29,3,,,,7,,,,3,,,,,,,
Cyprus,CYP,EUR,2,2020,Surveillance,1,A,25,0,,,,,,,,,,,,,25,0,,,,2,,,,0,,,,,,,
Cyprus,CYP,EUR,3,2019,Surveillance,1,A,47,0,,,,,,,,,,,,,47,0,,,,3,,,,0,,,,,,,
Cyprus,CYP,EUR,4,2018,Surveillance,1,A,33,0,,,,,,,,,,,,,33,0,,,,3,,,,0,,,,,,,
Cyprus,CYP,EUR,5,2015,Surveillance,1,A,34,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Cyprus,CYP,EUR,6,2014,Surveillance,1,A,17,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Cyprus,CYP,EUR,7,2013,Surveillance,1,A,23,0,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Cyprus,CYP,EUR,8,2012,Surveillance,1,A,40,0,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,
Cyprus,CYP,EUR,9,2011,Surveillance,1,A,25,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Cyprus,CYP,EUR,10,2010,Surveillance,1,A,20,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Cyprus,CYP,EUR,11,2009,Surveillance,1,A,27,4,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,
Cyprus,CYP,EUR,12,2008,Surveillance,1,A,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Cyprus,CYP,EUR,13,2007,pre-2010 TME data collection,1,A,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,14,2006,Surveillance,1,A,22,0,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,
Cyprus,CYP,EUR,15,2005,pre-2010 TME data collection,1,A,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,16,2004,pre-2010 TME data collection,1,A,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,EUR,1,2021,Surveillance,1,N,239,9,,,,,,,,,,,,,239,9,,,,20,,,,9,,,,,,,
Czechia,CZE,EUR,2,2020,Surveillance,1,A,223,8,,,,,,,,,,,,,223,8,,,,16,,,,8,,,,,,,
Czechia,CZE,EUR,3,2019,Surveillance,1,N,306,8,,,,,,,,,,,,,308,8,,,,21,,,,8,,,,,,,
Czechia,CZE,EUR,4,2018,Surveillance,1,N,278,10,,,,,,,,,,,,,278,10,,,,19,,,,10,,,,,,,
Czechia,CZE,EUR,5,2015,Surveillance,1,A,313,7,,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,
Czechia,CZE,EUR,6,2014,Surveillance,1,A,291,3,,,,2,,,,,,,,,,,,,,,,,,,,,,8,,,
Czechia,CZE,EUR,7,2013,Surveillance,1,A,284,0,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Czechia,CZE,EUR,8,2012,Surveillance,1,A,371,2,,,,1,,,,,,,,,,,,,,,,,,,,,,13,,,
Czechia,CZE,EUR,9,2011,Surveillance,1,A,392,6,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,
Czechia,CZE,EUR,10,2010,Surveillance,1,A,389,7,,,,11,,,,,,,,,,,,,,,,,,,,,,9,,,
Czechia,CZE,EUR,11,2009,Surveillance,1,A,413,5,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,
Czechia,CZE,EUR,12,2008,Surveillance,1,A,483,10,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Czechia,CZE,EUR,13,2007,pre-2010 TME data collection,1,A,487,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,EUR,14,2006,pre-2010 TME data collection,1,A,552,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,EUR,15,2005,Surveillance,1,A,562,7,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,
Czechia,CZE,EUR,16,2004,Surveillance,1,A,480,4,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,,
Czechia,CZE,EUR,17,2003,Surveillance,1,A,610,1,,,,1,,,,,,,,,,,,,,,,,,,,,,22,,,
Czechia,CZE,EUR,18,2002,Surveillance,1,A,488,9,,,,2,,,,,,,,,,,,,,,,,,,,,,9,,,
Czechia,CZE,EUR,19,2001,Surveillance,1,A,663,8,,,,3,,,,,,,,,,,,,,,,,,,,,,13,,,
Czechia,CZE,EUR,20,2000,Surveillance,1,A,616,7,,,,0,,,,,,,,,,,,,,,,,,,,,,14,,,
Czechia,CZE,EUR,21,1999,Surveillance,1,A,628,2,,,,3,,,,,,,,,,,,,,,,,,,,,,8,,,
Czechia,CZE,EUR,22,1995,Survey,1,A,199,,1.01,0.12,3.58,,0,0,1.49,,,,,,,,,,,,,,,,,,,,1.01,0.12,3.58
Germany,DEU,EUR,1,2015,Surveillance,1,A,271,6,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,
Germany,DEU,EUR,2,2014,Surveillance,1,A,273,8,,,,2,,,,,,,,,,,,,,,,,,,,,,13,,,
Germany,DEU,EUR,3,2013,Surveillance,1,A,651,14,,,,3,,,,,,,,,,,,,,,,,,,,,,43,,,
Germany,DEU,EUR,4,2012,Surveillance,1,A,2361,32,,,,6,,,,,,,,,,,,,,,,,,,,,,126,,,
Germany,DEU,EUR,5,2011,Surveillance,1,A,2427,30,,,,5,,,,,,,,,,,,,,,,,,,,,,130,,,
Germany,DEU,EUR,6,2010,Surveillance,1,A,2368,33,,,,6,,,,,,,,,,,,,,,,,,,,,,140,,,
Germany,DEU,EUR,7,2009,Surveillance,1,A,2533,40,,,,6,,,,,,,,,,,,,,,,,,,,,,118,,,
Germany,DEU,EUR,8,2008,Surveillance,1,A,2360,16,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,
Germany,DEU,EUR,9,2007,pre-2010 TME data collection,1,A,2998,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,EUR,10,2006,pre-2010 TME data collection,1,A,3258,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,EUR,11,2005,Surveillance,1,A,3094,57,,,,11,,,,,,,,,,,,,,,,,,,,,,168,,,
Germany,DEU,EUR,12,2004,Surveillance,1,A,3194,46,,,,9,,,,,,,,,,,,,,,,,,,,,,207,,,
Germany,DEU,EUR,13,2003,Surveillance,1,A,3041,35,,,,10,,,,,,,,,,,,,,,,,,,,,,167,,,
Germany,DEU,EUR,14,2002,Surveillance,1,A,3013,43,,,,3,,,,,,,,,,,,,,,,,,,,,,174,,,
Germany,DEU,EUR,15,2001,Surveillance,1,A,2354,43,,,,6,,,,,,,,,,,,,,,,,,,,,,81,,,
Germany,DEU,EUR,16,2000,Surveillance,1,A,1561,12,,,,4,,,,,,,,,,,,,,,,,,,,,,49,,,
Germany,DEU,EUR,17,1999,Surveillance,1,A,1930,16,,,,5,,,,,,,,,,,,,,,,,,,,,,65,,,
Germany,DEU,EUR,18,1998,Survey,1,A,1515,,0.99,0.55,1.63,,0.66,0.32,1.21,,,,,,,,,,,,,,,,,,,,4.55,3.54,5.76
Germany,DEU,EUR,19,1997,Surveillance,1,A,1556,8,,,,5,,,,,,,,,,,,,,,,,,,,,,54,,,
Djibouti,DJI,EMR,1,2015,Survey,1,A,187,,7.5,4.2,12.2,,,,,,,,,,301,,4.7,2.8,7.7,,11.8,7.5,17.3,,11.8,7.5,17.3,,,,
Dominica,DMA,AMR,1,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Denmark,DNK,EUR,1,2021,Surveillance,1,A,113,1,,,,,,,,,,,,,113,1,,,,7,,,,1,,,,,,,
Denmark,DNK,EUR,2,2020,Surveillance,1,A,128,1,,,,,,,,,,,,,128,1,,,,6,,,,1,,,,,,,
Denmark,DNK,EUR,3,2019,Surveillance,1,A,171,3,,,,,,,,,,,,,171,3,,,,6,,,,3,,,,,,,
Denmark,DNK,EUR,4,2018,Surveillance,1,A,160,4,,,,,,,,,,,,,160,4,,,,5,,,,4,,,,,,,
Denmark,DNK,EUR,5,2017,Surveillance,1,A,155,1,,,,,,,,,,,,,155,1,,,,3,,,,1,,,,,,,
Denmark,DNK,EUR,6,2015,Surveillance,1,A,208,4,,,,0,,,,,,,,,,,,,,,,,,,,,,11,,,
Denmark,DNK,EUR,7,2014,Surveillance,1,A,197,1,,,,0,,,,,,,,,,,,,,,,,,,,,,13,,,
Denmark,DNK,EUR,8,2013,Surveillance,1,A,198,1,,,,0,,,,,,,,,,,,,,,,,,,,,,12,,,
Denmark,DNK,EUR,9,2012,Surveillance,1,A,260,1,,,,0,,,,,,,,,,,,,,,,,,,,,,8,,,
Denmark,DNK,EUR,10,2011,Surveillance,1,A,257,3,,,,0,,,,,,,,,,,,,,,,,,,,,,10,,,
Denmark,DNK,EUR,11,2010,Surveillance,1,A,255,2,,,,0,,,,,,,,,,,,,,,,,,,,,,19,,,
Denmark,DNK,EUR,12,2009,Surveillance,1,A,209,1,,,,0,,,,,,,,,,,,,,,,,,,,,,13,,,
Denmark,DNK,EUR,13,2008,Surveillance,1,A,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Denmark,DNK,EUR,14,2007,pre-2010 TME data collection,1,A,269,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,EUR,15,2006,pre-2010 TME data collection,1,A,286,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,EUR,16,2005,Surveillance,1,A,307,5,,,,0,,,,,,,,,,,,,,,,,,,,,,10,,,
Denmark,DNK,EUR,17,2004,Surveillance,1,A,267,0,,,,0,,,,,,,,,,,,,,,,,,,,,,18,,,
Denmark,DNK,EUR,18,2003,Surveillance,1,A,283,0,,,,0,,,,,,,,,,,,,,,,,,,,,,12,,,
Denmark,DNK,EUR,19,2002,Surveillance,1,A,273,1,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,
Denmark,DNK,EUR,20,2001,Surveillance,1,A,356,0,,,,0,,,,,,,,,,,,,,,,,,,,,,20,,,
Denmark,DNK,EUR,21,2000,Surveillance,1,A,392,1,,,,1,,,,,,,,,,,,,,,,,,,,,,28,,,
Denmark,DNK,EUR,22,1999,Surveillance,1,A,392,0,,,,1,,,,,,,,,,,,,,,,,,,,,,29,,,
Denmark,DNK,EUR,23,1998,Surveillance,1,A,412,2,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,
Dominican Republic,DOM,AMR,1,1995,Survey,1,A,303,,6.6,4.08,10.01,,9.57,6.5,13.46,,,,,,,,,,,,,,,,,,,,13.2,9.6,17.54
Algeria,DZA,AFR,1,2002,Survey,1,A,574,,1.4,0.6,2.7,,0,0,0.58,,,,,,,,,,,,,,,,,,,,1.93,0.93,3.55
Algeria,DZA,AFR,2,1988,Survey,1,A,243,,1.2,0.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,1,2002,Survey,1,A,812,,4.93,3.52,6.71,,2.34,1.41,3.65,,,,,,,,,,,,,,,,,,,,6.03,4.46,7.98
Egypt,EGY,EMR,1,2021,Surveillance,1,A,2962,23,,,,,,,,,,,,,2962,75,,,,44,,,,75,,,,,,,
Egypt,EGY,EMR,2,2020,Surveillance,1,A,2815,6,,,,,,,,,,,,,2815,22,,,,8,,,,22,,,,,,,
Egypt,EGY,EMR,3,2011,Survey,1,A,1047,,3.4,1.9,4.9,,10.6,8.8,12.6,,,,,,,,,,,,,,,,,,,,6.1,4.7,7.7
Egypt,EGY,EMR,4,2002,Survey,1,A,632,,2.22,1.21,3.72,,4.75,3.2,6.78,,,,,,,,,,,,,,,,,,,,7.59,5.6,10.07
Eritrea,ERI,AFR,1,2018,Survey,1,A,502,,1,0.3,2.3,,,,,,,,,,502,,2,1,3.6,,4.4,2.8,6.6,,2,1,3.6,,,,
Spain,ESP,EUR,1,2015,Surveillance,1,A,769,30,,,,2,,,,,,,,,,,,,,,,,,,,,,54,,,
Estonia,EST,EUR,1,2021,Surveillance,1,A,68,14,,,,,,,,,,,,,74,16,,,,19,,,,14,,,,,,,
Estonia,EST,EUR,2,2020,Surveillance,1,A,88,16,,,,,,,,,,,,,91,17,,,,23,,,,16,,,,,,,
Estonia,EST,EUR,3,2019,Surveillance,1,A,102,17,,,,,,,,,,,,,106,18,,,,26,,,,18,,,,,,,
Estonia,EST,EUR,4,2018,Surveillance,1,A,100,22,,,,,,,,,,,,,104,23,,,,31,,,,23,,,,,,,
Estonia,EST,EUR,5,2017,Surveillance,1,A,119,26,,,,,,,,,,,,,123,26,,,,37,,,,26,,,,,,,
Estonia,EST,EUR,6,2016,Surveillance,1,A,132,17,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,
Estonia,EST,EUR,7,2015,Surveillance,1,A,133,18,,,,3,,,,,,,,,,,,,,,,,,,,,,9,,,
Estonia,EST,EUR,8,2014,Surveillance,1,A,154,30,,,,0,,,,,,,,,,,,,,,,,,,,,,13,,,
Estonia,EST,EUR,9,2013,Surveillance,1,A,168,29,,,,2,,,,,,,,,,,,,,,,,,,,,,14,,,
Estonia,EST,EUR,10,2012,Surveillance,1,A,193,38,,,,2,,,,,,,,,,,,,,,,,,,,,,14,,,
Estonia,EST,EUR,11,2011,Surveillance,1,A,210,48,,,,1,,,,,,,,,,,,,,,,,,,,,,16,,,
Estonia,EST,EUR,12,2010,Surveillance,1,A,199,36,,,,1,,,,,,,,,,,,,,,,,,,,,,13,,,
Estonia,EST,EUR,13,2009,Surveillance,1,A,241,54,,,,2,,,,,,,,,,,,,,,,,,,,,,12,,,
Estonia,EST,EUR,14,2008,Surveillance,1,A,272,42,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,
Estonia,EST,EUR,15,2007,pre-2010 TME data collection,1,A,316,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EUR,16,2006,pre-2010 TME data collection,1,A,279,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EUR,17,2005,Surveillance,1,A,316,42,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,
Estonia,EST,EUR,18,2004,Surveillance,1,A,358,51,,,,0,,,,,,,,,,,,,,,,,,,,,,30,,,
Estonia,EST,EUR,19,2003,Surveillance,1,A,361,51,,,,0,,,,,,,,,,,,,,,,,,,,,,37,,,
Estonia,EST,EUR,20,2002,Surveillance,1,A,373,63,,,,0,,,,,,,,,,,,,,,,,,,,,,30,,,
Estonia,EST,EUR,21,2001,Surveillance,1,A,375,53,,,,1,,,,,,,,,,,,,,,,,,,,,,37,,,
Estonia,EST,EUR,22,2000,Surveillance,1,A,410,50,,,,0,,,,,,,,,,,,,,,,,,,,,,44,,,
Estonia,EST,EUR,23,1999,Surveillance,1,A,428,75,,,,1,,,,,,,,,,,,,,,,,,,,,,42,,,
Estonia,EST,EUR,24,1998,Surveillance,1,A,377,53,,,,1,,,,,,,,,,,,,,,,,,,,,,45,,,
Estonia,EST,EUR,25,1994,Survey,1,A,266,,10.15,6.8,14.42,,0,0,1.12,,,,,,,,,,,,,,,,,,,,10.9,7.42,15.28
Ethiopia,ETH,AFR,1,2018,Survey,1,A,1723,,1.02,0.49,1.54,,,,,,,,,,2037,,1.08,0.55,1.61,,5.14,3.76,6.52,,1.27,0.65,1.9,,3.94,2.78,5.11
Ethiopia,ETH,AFR,2,2005,Survey,1,A,804,,1.62,0.86,2.76,,1.12,0.51,2.12,,,,,,,,,,,,,,,,,,,,6.09,4.51,8.06
Finland,FIN,EUR,1,2021,Surveillance,1,N,87,2,,,,,,,,,,,,,87,2,,,,7,,,,2,,,,,,,
Finland,FIN,EUR,2,2020,Surveillance,1,N,100,0,,,,,,,,,,,,,100,0,,,,11,,,,0,,,,,,,
Finland,FIN,EUR,3,2019,Surveillance,1,N,121,2,,,,,,,,,,,,,121,2,,,,11,,,,2,,,,,,,
